00:00:00.000 ; TestPlan      ; Start       ; Starting TestPlan 'Untitled*' on 01-09-2015 10:04:19, 1 of 1 TestSteps enabled.
00:00:00.002 ; Remote        ; Verbose     ; Communication channel Faulted. Recreating.
00:00:00.308 ; Remote        ; Verbose     ; Locking remote setup
00:00:00.311 ; Remote        ; Verbose     ; Locked remote setup 'A-E6607C-10275'. [310 ms]
00:00:00.312 ; EXT           ; Verbose     ; Connecting to 'TCPIP0::A-E6607C-10275.aal.is.keysight.com::inst0::INSTR'
00:00:00.312 ; Log           ; Information ; Device TapPlugin.ResultListeners.LogResultListener opened [0 ms]
00:00:00.313 ; Remote        ; Verbose     ; Locking remote setup
00:00:00.315 ; Remote        ; Verbose     ; Locked remote setup 'A-E6607C-10275'. [3 ms]
00:00:00.435 ; EXT           ; Verbose     ; SCPI >> *IDN? [1 ms]
00:00:00.435 ; EXT           ; Verbose     ; SCPI << Agilent Technologies,E6607C,MY51510275,A.12.74
00:00:00.435 ; EXT           ; Information ; Now connected to: Agilent Technologies,E6607C,MY51510275,A.12.74
00:00:00.438 ; EXT           ; Verbose     ; SCPI >> *CLS [3 ms]
00:00:00.439 ; EXT           ; Verbose     ; SCPI >> INST:NSEL? [1 ms]
00:00:00.439 ; EXT           ; Verbose     ; SCPI << 123
00:00:00.439 ; EXT           ; Verbose     ; Applying settings.
00:00:00.448 ; EXT           ; Verbose     ; SCPI >> SYSTem:DEF MOD [9 ms]
00:00:00.449 ; EXT           ; Verbose     ; SCPI >> SYST:DEF INP [1 ms]
00:00:00.479 ; EXT           ; Verbose     ; SCPI >> :DISPlay:ENABle ON [30 ms]
00:00:00.480 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET1 ON [1 ms]
00:00:00.480 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET1:RF:PORT RFIn [0 ms]
00:00:00.489 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET1:DATA 10e6, 0, 3000e6, 0 [9 ms]
00:00:00.493 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET2:RF:PORT RFOut [3 ms]
00:00:00.493 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET2 ON [1 ms]
00:00:00.494 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET2:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:00.494 ; EXT           ; Verbose     ; Skipping setting 'RFCableLossRFIO1' (Requires option 'RFIO RF')
00:00:00.494 ; EXT           ; Verbose     ; Skipping setting 'RFCableLossRFIO2' (Requires option 'RFIO RF')
00:00:00.494 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET1:RF:PORT:RFIO0 BOTH [0 ms]
00:00:00.495 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET1 ON [0 ms]
00:00:00.495 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET1:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:00.496 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET1:RF:PORT RFIO0 [0 ms]
00:00:00.496 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET2 ON [0 ms]
00:00:00.497 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET2:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:00.497 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET2:RF:PORT RFIO1 [0 ms]
00:00:00.498 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET2:RF:PORT:RFIO1 BOTH [0 ms]
